,x,y,word,cluster
diabetes,21.98472,2.9482434,diabetes,9
Maria,-28.40967,7.2052736,Maria,10
fucked,-2.0649476,-34.75434,fucked,2
template,18.992062,-8.064736,template,5
Flower,-15.360587,22.087696,Flower,0
dresses,24.337282,-18.94691,dresses,6
Recipes,-1.8966854,23.943747,Recipes,1
Michelle,-39.052242,-8.39989,Michelle,10
cruise,19.480667,-6.835327,cruise,5
girlfriend,-0.06093412,-23.910807,girlfriend,2
Rooms,9.677578,23.15936,Rooms,8
Charlotte,-28.466581,3.9993017,Charlotte,10
Calendar,-1.3674307,19.840715,Calendar,8
Princess,-6.938391,13.416523,Princess,3
designers,23.58815,-12.919373,designers,6
Choice,-20.168327,13.038886,Choice,8
Sites,-13.156547,11.606273,Sites,8
Virtual,-1.9354044,18.901775,Virtual,8
crystal,25.711311,-13.610516,crystal,6
Nancy,-33.54461,2.7035973,Nancy,10
Bedroom,14.287998,25.060007,Bedroom,0
bitch,0.3031571,-31.107412,bitch,2
lesbian,-0.57425165,-33.85947,lesbian,2
Designer,-9.759113,24.871592,Designer,0
Grace,-31.787674,-2.0904434,Grace,10
tits,-2.0148835,-36.16822,tits,2
Jessica,-36.85097,-10.160671,Jessica,10
Purchase,-15.397466,14.709394,Purchase,8
Valentine,-26.024721,-1.4787614,Valentine,3
Madison,-26.996233,2.1298344,Madison,10
carrier,23.324888,-2.5083466,carrier,5
cups,43.848507,-16.694818,cups,1
Pearl,-14.611152,20.590824,Pearl,0
Alice,-32.028557,-1.1595861,Alice,10
Dining,8.809091,24.526375,Dining,0
Shows,-16.14144,10.794807,Shows,8
anal,-0.5110031,-37.438534,anal,2
Therapy,7.537763,17.544016,Therapy,8
engagement,17.326742,-8.087568,engagement,5
addiction,13.382748,-1.6055081,addiction,9
pets,17.390867,-7.3369765,pets,5
Nursing,9.080303,18.164192,Nursing,8
Soft,-13.49885,22.645023,Soft,0
carpet,20.857054,-14.492979,carpet,6
disorder,21.218468,3.1018155,disorder,9
Teacher,-3.691777,15.143194,Teacher,8
Recently,-23.80595,-2.5486119,Recently,8
Linda,-37.7125,-1.2342862,Linda,10
Rachel,-39.593204,-9.469149,Rachel,10
dot,17.669077,-13.506463,dot,5
browse,4.708341,-13.413487,browse,5
stylish,16.661037,-23.98217,stylish,6
galleries,1.7581706,-29.387121,galleries,2
baking,42.71998,-16.544184,baking,1
Cruise,2.1528912,17.211266,Cruise,8
Karen,-40.5049,-4.558342,Karen,10
Created,-17.486889,14.599737,Created,8
Finding,-19.931847,13.964067,Finding,8
Diet,10.688102,15.95488,Diet,8
Bags,10.839608,27.655039,Bags,0
salad,41.645813,-18.699635,salad,1
BEST,-11.787696,40.220203,BEST,7
colours,22.221968,-18.131596,colours,6
Luxury,6.81122,26.99129,Luxury,0
Lots,-24.267538,-1.8979048,Lots,8
Caribbean,2.0827868,15.264856,Caribbean,5
purple,13.69781,-25.921898,purple,6
spa,23.823915,-5.3487735,spa,5
Models,1.9454836,20.851585,Models,8
Healthy,-5.216288,26.245863,Healthy,8
Designs,-10.475541,24.289522,Designs,0
nutrition,39.145176,-14.010136,nutrition,9
costume,14.357429,-20.26577,costume,6
Apartment,11.324239,21.24454,Apartment,8
facial,28.01785,-1.2711236,facial,2
nurse,11.894259,-5.9994874,nurse,9
babe,-2.488318,-35.061287,babe,2
relaxing,20.858986,-7.23411,relaxing,5
Yoga,11.342047,19.568455,Yoga,8
Eve,-26.42924,0.8564912,Eve,10
makeup,16.9825,-16.351568,makeup,6
Womens,13.474296,26.459229,Womens,0
celebrity,5.720641,-18.771273,celebrity,5
Newsletter,-4.5536814,18.882242,Newsletter,8
photograph,7.396945,-14.026293,photograph,5
outfit,11.346473,-24.955814,outfit,6
Sugar,-24.982986,15.115141,Sugar,3
actress,18.238014,-2.7555907,actress,10
Ashley,-33.235653,-7.800113,Ashley,10
magazines,18.95378,-6.621157,magazines,5
honey,37.71577,-21.833044,honey,1
yoga,23.843496,-1.4750806,yoga,5
Holidays,4.4749517,22.300571,Holidays,8
Contemporary,3.4884658,27.258593,Contemporary,0
Multiple,-12.689793,14.951974,Multiple,8
Celebrity,-4.4550676,14.221037,Celebrity,8
beaches,25.951359,-2.7693164,beaches,5
romance,15.246099,-13.3634815,romance,5
Sample,-15.948448,12.166776,Sample,8
Marie,-30.58324,3.1241562,Marie,10
sisters,-0.08953326,-18.825272,sisters,10
Mirror,-11.694848,22.360022,Mirror,0
xxx,-0.42768434,-31.766266,xxx,2
Shower,12.083029,24.890013,Shower,0
Cherry,-23.937067,12.372647,Cherry,3
Contest,-8.658363,16.227665,Contest,8
Cooking,-2.7540865,26.196259,Cooking,8
Nutrition,10.529873,16.02654,Nutrition,8
VERY,-11.74624,41.255318,VERY,7
Emily,-39.460136,-6.0793266,Emily,10
Julie,-42.83294,-9.061371,Julie,10
Target,-12.332258,16.56697,Target,8
lemon,42.52208,-17.879871,lemon,1
Apply,3.3051355,18.648693,Apply,8
acne,23.09204,5.887919,acne,9
lover,-1.3415943,-22.059784,lover,2
sucking,-1.3578024,-33.851738,sucking,2
Unique,-21.469143,14.222979,Unique,0
Statement,-4.176611,19.280367,Statement,8
adorable,13.405799,-19.926958,adorable,6
caring,7.653938,-6.9560385,caring,9
Seller,7.2457256,22.555141,Seller,8
Cute,-11.618805,3.7578905,Cute,4
Amateur,-7.5366607,0.34668666,Amateur,4
Virgin,-3.8643823,12.73862,Virgin,3
Ass,-8.400141,0.46295604,Ass,4
Wife,-9.236,3.5858219,Wife,4
Fiction,4.7076077,20.483353,Fiction,8
Cake,-24.797997,17.535183,Cake,3
rack,14.202639,-14.411966,rack,5
Dawn,-30.328096,-2.4960434,Dawn,10
abortion,21.61335,4.0201907,abortion,9
nail,14.033479,-22.102335,nail,6
laundry,20.814,-7.5578,laundry,5
skirt,14.714763,-19.552986,skirt,6
colorful,15.221783,-25.419744,colorful,6
passionate,4.3829455,-17.533625,passionate,5
Updates,-14.079674,12.934583,Updates,8
enjoys,0.45727783,-21.846514,enjoys,5
syndrome,22.114553,4.103679,syndrome,9
Hilton,-19.599463,6.8321524,Hilton,10
Carol,-37.290565,-1.9667968,Carol,10
mothers,6.592476,-7.591051,mothers,9
Massage,14.026594,20.905807,Massage,8
swim,15.244793,-14.771005,swim,5
Heather,-32.905407,-1.375941,Heather,10
soap,20.731287,-11.25089,soap,5
separated,3.9002216,-15.983544,separated,5
queen,11.641563,-19.2135,queen,5
Bottom,-17.336454,15.742743,Bottom,0
charming,12.672141,-22.579338,charming,6
grocery,19.564062,-11.65413,grocery,5
measurements,22.850096,-4.4365797,measurements,5
Collections,-6.606734,21.025568,Collections,8
blogger,15.472456,-10.127024,blogger,5
Pics,-11.774295,2.4224799,Pics,4
Amanda,-42.025486,-9.820476,Amanda,10
Bathroom,11.85193,24.654083,Bathroom,0
Candy,-24.124493,11.695067,Candy,3
Lynn,-35.664524,-9.421195,Lynn,10
DIY,-0.29089388,29.633947,DIY,0
Lauren,-31.3334,-0.10542439,Lauren,10
Desk,6.101759,23.614445,Desk,8
Breast,6.163147,18.090107,Breast,8
horny,-1.309321,-35.154453,horny,2
Evening,-13.845711,19.577951,Evening,0
on-line,7.5293593,-11.773336,on-line,5
Katie,-38.60548,-8.681203,Katie,10
Oral,14.558785,20.471142,Oral,4
SALE,-7.9404025,39.841713,SALE,7
clinic,8.7174635,-6.69206,clinic,9
Covers,4.0369616,27.12249,Covers,0
Pump,10.443473,24.298754,Pump,0
Exclusive,-18.014805,11.265377,Exclusive,8
Emma,-37.93046,-7.3855743,Emma,10
Fabric,8.507096,29.160805,Fabric,0
homemade,37.449257,-21.855598,homemade,1
Nicole,-37.439365,-10.435153,Nicole,10
Joy,-29.969229,-3.2117734,Joy,10
tub,14.049671,-14.816597,tub,5
dressing,36.638992,-21.11724,dressing,1
sunny,15.844104,-14.139133,sunny,5
Costume,11.404623,26.192688,Costume,0
Helen,-38.955696,-2.1890135,Helen,10
Galleries,-9.238558,3.0408797,Galleries,4
templates,21.264988,-5.5673604,templates,5
bride,12.320544,-20.534582,bride,6
tile,26.929638,-8.738048,tile,5
hottest,2.6257885,-25.60168,hottest,2
Colors,-12.513221,23.232878,Colors,0
Dancing,-20.180649,9.201837,Dancing,3
belly,8.141601,-20.507645,belly,2
chick,-0.11699325,-28.105389,chick,2
Whole,-24.915003,15.86154,Whole,3
outdoors,6.8191667,-19.850573,outdoors,5
Catherine,-33.758965,2.4901636,Catherine,10
Huge,-12.92962,3.6554554,Huge,4
Ruby,-16.334835,17.796005,Ruby,3
Twilight,-15.821662,17.646105,Twilight,3
Dresses,13.579698,27.14758,Dresses,0
Platinum,2.3180714,27.011595,Platinum,0
Julia,-40.276924,-9.706935,Julia,10
Sharon,-35.612236,-1.0540837,Sharon,10
protective,15.891786,-6.8889165,protective,9
ABOUT,-10.100153,39.21566,ABOUT,7
Salon,4.1462183,25.162565,Salon,0
Sierra,-7.447174,11.77077,Sierra,8
Wonderful,-25.75674,-1.7389059,Wonderful,3
Honey,-25.116058,12.4727955,Honey,3
Teachers,-0.98412114,17.835238,Teachers,8
NOTE,-13.998719,38.16381,NOTE,7
Blonde,-9.080347,0.06930749,Blonde,4
exotic,9.749866,-20.581284,exotic,5
Dreams,-21.433558,10.0657,Dreams,3
Mature,-7.321543,-0.28872144,Mature,4
Sue,-37.649815,-2.5058331,Sue,10
breasts,2.018735,-35.826164,breasts,2
closet,16.27438,-14.985035,closet,5
WOW,-20.771662,17.6361,WOW,7
heels,8.482095,-24.879484,heels,6
decor,21.744452,-20.01118,decor,6
silk,25.470285,-17.432634,silk,6
necklace,25.812277,-16.478722,necklace,6
pose,-0.35326934,-20.902567,pose,5
Wear,-12.397694,22.027533,Wear,0
Necklace,12.916575,28.28094,Necklace,0
Platform,7.55838,23.558142,Platform,8
waist,28.266018,-4.9513345,waist,6
Earrings,14.134338,27.684393,Earrings,0
intimate,4.8835826,-17.150402,intimate,5
Bachelor,11.866813,19.293211,Bachelor,8
Rebecca,-40.263683,-6.7934012,Rebecca,10
Classes,4.6354194,19.308525,Classes,8
Melissa,-42.01131,-8.360004,Melissa,10
beads,29.219307,-10.006835,beads,6
Anal,-6.364261,-1.1748071,Anal,4
vibrant,19.86548,-17.764381,vibrant,6
Milk,-4.4289393,27.48644,Milk,3
counseling,20.091362,2.64267,counseling,9
Betty,-34.143703,-3.923851,Betty,10
Carpet,6.364807,25.919657,Carpet,0
Czech,13.516997,18.133728,Czech,8
bloggers,15.91298,-9.8308935,bloggers,5
Sara,-41.286663,-10.91708,Sara,10
spouse,13.35899,-2.9893713,spouse,9
Trends,-5.2186704,20.101501,Trends,8
Teens,-8.059857,1.5859823,Teens,4
Patient,5.241038,16.756672,Patient,8
sheer,13.297969,-20.803783,sheer,6
lip,14.513053,-16.257832,lip,6
Holly,-33.572697,-8.573925,Holly,10
Vitamin,11.686023,15.550903,Vitamin,8
null,12.4179535,15.03868,null,5
vanilla,43.44545,-17.266071,vanilla,1
inexpensive,18.49392,-23.754354,inexpensive,5
kissing,0.876908,-32.204544,kissing,2
Lovely,-22.163076,1.9238697,Lovely,3
luxurious,26.185057,-13.28591,luxurious,6
Ellen,-34.619923,1.4510479,Ellen,10
Explore,-20.087648,14.602016,Explore,8
toxic,23.19394,1.0306028,toxic,9
modeling,17.263111,-5.697371,modeling,5
Naked,-12.683644,2.6019568,Naked,4
Reality,-15.308904,10.938591,Reality,8
Victorian,0.25458604,29.691029,Victorian,0
Joan,-32.29678,3.875129,Joan,10
registry,22.107437,-2.3585346,registry,5
webcam,1.6387899,-38.30366,webcam,2
Diabetes,10.259809,17.092123,Diabetes,8
swap,7.576513,-16.336565,swap,5
Nurse,1.4165285,18.851334,Nurse,8
Donna,-38.88277,-4.8602376,Donna,10
poems,18.897238,-4.7990913,poems,5
Secrets,-8.415801,15.8095455,Secrets,8
Pattern,5.484995,30.110563,Pattern,0
Lucy,-41.049713,-11.5395565,Lucy,10
Nude,-9.40076,1.6766955,Nude,4
Eating,-5.345014,27.042889,Eating,8
Smoking,1.7911367,19.453442,Smoking,8
delicate,15.5157585,-26.3723,delicate,6
ribbon,22.214512,-17.74749,ribbon,6
Amber,-23.907873,5.102281,Amber,10
Alberta,1.4145057,15.986937,Alberta,8
Romance,-6.4212375,14.772685,Romance,3
babes,-1.9605523,-33.664734,babes,2
strips,9.146329,-19.726192,strips,5
slut,-2.061764,-35.334618,slut,2
boobs,-1.450706,-32.952084,boobs,2
non-profit,17.29077,1.3912349,non-profit,9
doll,10.450985,-21.73344,doll,6
nurses,12.701094,-0.8481846,nurses,9
Annie,-43.408005,-7.7437925,Annie,10
costumes,16.963743,-17.556095,costumes,6
seniors,9.30594,-7.0796256,seniors,9
Kiss,-21.753834,8.990933,Kiss,3
Registry,10.553165,19.113058,Registry,8
Mercedes,13.126574,18.480919,Mercedes,10
Christine,-40.717,-6.913069,Christine,10
weddings,26.20306,-8.118724,weddings,5
:00,14.207612,20.172855,:00,4
Monica,-36.16204,-7.7661195,Monica,10
grandmother,0.8677702,-17.672495,grandmother,10
Stephanie,-39.98071,-6.8503065,Stephanie,10
Compact,7.4809966,24.321207,Compact,0
lace,25.529312,-17.823692,lace,6
VIP,-9.012015,17.844408,VIP,8
earrings,29.112988,-12.576154,earrings,6
Hardcore,-7.702127,0.022151424,Hardcore,4
Advertise,3.7088428,19.100475,Advertise,8
Factor,6.988498,18.701376,Factor,8
floral,27.220266,-14.605197,floral,6
disabilities,21.198793,3.9636052,disabilities,9
cosmetic,24.01581,-2.0910382,cosmetic,9
Janet,-39.77439,-7.521889,Janet,10
baked,39.661858,-20.829075,baked,1
catering,18.28604,-11.0119705,catering,5
Andrea,-32.802013,0.96295,Andrea,10
Fiber,12.3267565,22.98064,Fiber,0
HOT,-13.441981,40.89954,HOT,7
sewing,25.067755,-13.258621,sewing,6
Beverly,-28.210905,4.8939967,Beverly,10
dessert,39.63474,-20.131203,dessert,1
fabrics,28.7139,-12.19327,fabrics,6
Cottage,-0.91733515,27.800478,Cottage,3
cakes,38.84094,-20.452604,cakes,1
Cum,-5.599496,-1.5393791,Cum,4
giveaway,3.9896886,-12.532589,giveaway,5
Claire,-38.625572,-6.4780483,Claire,10
cottage,21.520405,-10.845592,cottage,5
celebrities,9.758176,-17.026577,celebrities,5
Parties,0.641763,19.89986,Parties,8
pumps,26.189972,-5.4868884,pumps,6
FIRST,-12.739504,39.044426,FIRST,7
Beth,-34.56223,2.1350129,Beth,10
balcony,24.803701,-5.7078066,balcony,5
Readers,-9.6778755,15.762096,Readers,8
crafts,19.445595,-20.379671,crafts,6
Diana,-38.106228,-5.570031,Diana,10
Jenny,-42.798927,-11.27244,Jenny,10
ceramic,28.607235,-8.840303,ceramic,6
lingerie,2.3485317,-33.761776,lingerie,2
Salad,-2.3077846,25.103245,Salad,1
accommodations,22.693087,-2.663243,accommodations,5
Clearance,8.719166,26.322464,Clearance,0
CLICK,-13.541553,40.40421,CLICK,7
ebony,-0.12815131,-39.113155,ebony,2
Pussy,-7.7511363,-0.6242605,Pussy,4
Bella,-24.245909,7.375416,Bella,3
Closed,-10.801871,16.605902,Closed,8
Changing,-18.762915,13.689787,Changing,8
cocktail,19.395908,-21.436338,cocktail,6
dildo,-0.8778005,-37.97738,dildo,2
Mint,-1.4472961,27.910696,Mint,3
Absolutely,-25.138502,-0.6849316,Absolutely,3
yarn,29.62389,-9.249688,yarn,6
Sister,-31.374535,-6.407989,Sister,10
Christina,-37.463184,-8.8317995,Christina,10
moms,2.796521,-20.93275,moms,2
nylon,28.589327,-3.7723272,nylon,6
Lesbian,-9.157582,1.1159557,Lesbian,4
Decor,6.5921783,30.044092,Decor,0
Cancel,-10.457793,16.032389,Cancel,8
delightful,-5.124864,-22.367584,delightful,5
Angela,-40.201893,-9.081806,Angela,10
Diane,-40.12869,-3.5116763,Diane,10
Dates,-7.680286,16.658627,Dates,8
Silk,-10.301497,25.488243,Silk,0
Crafts,4.774685,28.3956,Crafts,0
Jo,-34.868607,-3.3604794,Jo,10
bracelet,27.69841,-13.224811,bracelet,6
Marina,-5.7020698,11.858448,Marina,10
brunette,-1.9926708,-37.30344,brunette,2
Bridal,9.763939,28.671654,Bridal,0
erotic,0.9085795,-31.428465,erotic,2
Tits,-5.8052382,-1.5167379,Tits,4
Kathy,-39.22618,-3.033977,Kathy,10
Sally,-42.18005,-6.303258,Sally,10
Giving,-24.68278,2.003932,Giving,8
supportive,8.1233015,-6.5622854,supportive,9
Powder,0.4827504,25.259264,Powder,0
pillow,17.67961,-19.77875,pillow,6
coconut,42.6832,-17.50817,coconut,1
Autumn,-22.945963,11.022226,Autumn,3
Lifestyle,-13.360471,14.833861,Lifestyle,8
Loved,-23.606756,2.1113715,Loved,3
healthier,39.229813,-14.12672,healthier,9
Tiffany,-24.209145,6.093975,Tiffany,10
cluster,18.545864,-7.680181,cluster,5
Affordable,-5.61853,20.181513,Affordable,8
Ms,-19.620123,5.8946047,Ms,10
Lindsay,-32.339817,0.7810387,Lindsay,10
Megan,-33.86708,-6.7994494,Megan,10
Mama,-24.41247,9.028484,Mama,3
Liz,-41.58995,-5.933064,Liz,10
showers,25.688913,-4.129456,showers,5
Coordinator,3.7807846,16.854729,Coordinator,8
Mirrors,10.0921755,25.600042,Mirrors,0
mattress,25.96523,-4.1243443,mattress,5
Kitty,-23.346718,4.821869,Kitty,3
Jackie,-41.855648,-7.508479,Jackie,10
Dana,-31.322504,1.1795843,Dana,10
dairy,40.430172,-15.267756,dairy,1
princess,13.328424,-19.742294,princess,6
Judy,-38.549232,-2.7518094,Judy,10
Sharing,-15.048975,12.217758,Sharing,8
Sandra,-38.45093,-10.564512,Sandra,10
bra,5.6616015,-34.230415,bra,2
quilt,24.588451,-12.861107,quilt,6
Rack,7.7635694,25.345863,Rack,0
pale,13.389487,-18.550116,pale,6
Wendy,-43.22412,-6.1870446,Wendy,10
clicks,7.9429407,-17.302322,clicks,5
Doll,-9.812318,20.854765,Doll,3
mum,1.0010144,-18.608932,mum,5
nonprofit,17.509851,1.4502406,nonprofit,9
Egg,-24.928112,16.707829,Egg,3
Trim,11.4291315,27.636194,Trim,0
SEE,-13.661495,39.29827,SEE,7
Bee,-22.471664,11.075135,Bee,3
complications,13.982383,-0.75098926,complications,9
AMI,14.684818,-10.248538,AMI,5
