,caucasian_effect_size,caucasian_p_value
Crafts,-1.5678402814412307,0.9861050529194553
utilized,0.38240495582514766,0.2977321704100564
prevents,-0.8653162735518474,0.892111657887928
grasp,-0.3249253489948558,0.6776387442317222
herbal,-0.60570327229274,0.8041545211247265
sqft,0.031548582385425315,0.47689538267512
angels,-0.7087962511669132,0.8425843529437097
Jo,-0.19873261665259948,0.6060433026582277
GT,0.5967054771084893,0.19579925607813786
Kind,0.046151866651645904,0.4689210813186695
kidney,-0.3270509214430704,0.6753451740622868
bracelet,-0.6323116808705819,0.8147030506137887
Compatible,0.2552967454193832,0.3596538591582059
Essex,-0.3949806540838655,0.7203382447179045
Marina,-0.9635522008936456,0.9127596512349985
launching,0.43422492188298634,0.2692967080886697
Liquid,-1.0784145756421362,0.9385442156884161
merchant,0.2932358395062141,0.34170215829698347
Slideshow,-0.13162207823004263,0.573302565304465
Demand,-0.11219586484390147,0.5624446469011952
5:30,-0.3282560162941964,0.6792411233101106
cylinder,0.5214818612647617,0.22736041180764488
dominated,-0.383318913686625,0.7046235632522804
bent,-0.6989938401276833,0.8371939213388252
acted,-0.3126604265996606,0.6698185529921333
4:00,0.9019100917040749,0.1004523611579976
IEEE,1.1793361773527538,0.050059997111069676
Recruiting,1.0493108206503938,0.06938316835663716
fifty,0.47742634950760093,0.2507161062521249
Alfred,-1.0342038028909881,0.9316726386335332
tendency,-1.0158464332985704,0.922182745071735
crops,0.09665370354041743,0.44797715677242833
WORLD,-0.09274676041650282,0.5479795138081122
cargo,-0.6100546354014666,0.8044494504297515
john,0.04343847525579016,0.47875130376445063
rip,-0.5438359999208219,0.7789253434327679
175,-0.4802553825580975,0.7539426010277626
und,-0.04452025234260451,0.5349761878363166
Missing,-0.4654680975299639,0.7392309007027338
Unlimited,-0.5482324590940899,0.7826069124932444
brunette,-0.8363375612741158,0.8825127739365217
revision,-0.6299137616512226,0.8137755128883795
machinery,0.08320981557360146,0.45173626529532984
shuttle,-0.5718889301551949,0.7942584756915662
Steam,0.9345111595374078,0.09336813235060815
Q&A,0.09787704444959389,0.44470052829507145
boom,-0.3401972410552618,0.6824933086840677
associations,0.0776640569995496,0.4606163438185824
wires,-0.2039208459276196,0.6156600817405482
genuinely,0.2876399497497024,0.34591350722201575
Queens,0.09224442871523462,0.4447871637404166
tuition,0.8207758375105405,0.12414009906417589
Selected,-0.21430934910241806,0.6109141525774833
BACK,-0.2701848493914644,0.6484956430029254
combining,0.09771472508351692,0.44511164096094047
Mechanical,0.9356313871067439,0.09268503598226663
Bridal,-0.8603704780994725,0.889716753941337
Export,-0.060539519476559396,0.5337248507609217
rivers,-0.31537510762914195,0.6735008982162751
erotic,-0.4610795644066544,0.7441686357693011
Tits,-0.5812138323341381,0.8005374482029407
Safari,-1.1482269821692,0.9496390142383189
flags,0.3009925776099189,0.3297523203967053
Wash,0.25292960972972783,0.35623826684478055
warrant,0.49405731901927447,0.242254443046666
il,0.3362394619808637,0.3187036652337373
t-shirt,-0.12702842930931993,0.5744579114089989
Kathy,-0.8844710644361545,0.8961639927297724
temporarily,0.16991316988521143,0.3992632956447124
EA,0.6283479532344719,0.18553962483015818
Cricket,0.40803361506256436,0.28837458834667096
sailing,0.9146739227704098,0.09800592509483308
deposits,-0.127143945183466,0.5755405764159308
clearance,-0.33307007005062306,0.6817715696462098
11:30,-0.9140075748304048,0.9039957414953405
Brief,0.3559113689682701,0.3016595084395596
;-),-0.06254476305290237,0.5419297775446461
warmth,-0.11204773415922185,0.5695939790064878
refrigerator,0.43898633475124466,0.26369615926804013
midst,-0.7202082252182013,0.8456097567305793
polished,0.73527460572821,0.1496016298564925
Airways,-0.3274400683667875,0.681040350731389
Sally,-0.8782105183408994,0.8906646177317822
agrees,-0.10273358070710727,0.5662100517018867
Boulevard,-1.05022021214847,0.9311331225133337
farmer,-0.06680296377444099,0.5347116738836613
knocked,-0.6038941891540021,0.8009373647371156
planes,0.16536110662120196,0.40122409124414005
earthquake,1.1881907159098655,0.04733981660805153
Giving,0.19112757099830927,0.38989872333012765
backgrounds,-0.5837003775361705,0.7999233353163814
Gmail,0.0725141489649023,0.46429959857870806
Monitoring,0.7878608189654459,0.1376089330325332
1960s,0.08916535303391487,0.4418889110573003
high-speed,0.5766707366184701,0.2088595036779688
sensors,0.5680095675066242,0.2115651370997833
Venice,-0.015298276999196015,0.4974265441010952
btw,0.42103675187474754,0.26957747671548105
Youtube,-0.09276083025245829,0.5490563349073454
Stevens,-0.8302859470686567,0.8797819724125477
Gaza,0.24893972086098484,0.36442061852223606
supportive,0.24955227276881925,0.3606191764322898
publishers,0.402492733113524,0.2848386545718222
cycles,-0.02366588704033199,0.5171176537756793
threatening,0.5774698856049534,0.2038146960654399
altogether,0.12708654272883496,0.4320049870303849
Iranian,1.2569643844885787,0.03647505948258367
calculator,0.5682637776020761,0.21309184869946507
withdrawal,0.24237251366213924,0.3633102214856252
Ignore,-1.5759495568421664,0.9863682807966748
Sullivan,0.4331320863194368,0.27342506092999297
Takes,-0.41763070265520486,0.7259473780998116
Tales,-1.2200410014657073,0.9587394240452861
Reviewed,0.4993878392733838,0.2382464981894714
Proceedings,0.408831195006355,0.28460948476847503
frustration,-0.29807064593309646,0.6654328606803499
Powder,0.5300771883785874,0.2273192360746893
towel,-0.7051970398351075,0.8391302540019203
viable,0.404405115432849,0.28286779890959424
Hearts,-1.5473898351020068,0.984882303359459
circulation,-0.1438624464162949,0.5788403626569187
Present,-0.3444138009652443,0.6812566391611252
mobility,-0.3328783666762894,0.6750392366332333
statistical,0.8172422710118614,0.12771066848581047
knowledgeable,0.5920612079063294,0.2013504734967696
Buyer,0.6691616866489679,0.17232394657985062
attacking,0.8420974477922692,0.1170791845596566
Bread,0.1471678329887104,0.41931600695869664
.7,-0.36009958852496526,0.6949792153676537
3-4,0.5701716647953984,0.21048986531520553
investigating,0.23986639793274686,0.3696983966859203
Sources,0.5439343778542846,0.2185911173043783
Classifieds,-0.32365016533710167,0.6796528618290217
alumni,-0.41287919164529047,0.725182551828259
mirrors,0.11296925903391782,0.4350671063820445
beast,-0.3960720879556736,0.7107964670810103
8.5,-0.5959604856853624,0.8004812653606428
cow,-0.22131154679996787,0.6267063166357614
shiny,-1.3307783221633511,0.9703327719615824
gig,-1.2670661256204874,0.9636688218588311
Entries,-0.4048877406006414,0.7140912384465279
Tracy,-1.4157846075895952,0.9769202008648208
Opportunity,-0.5917251220581694,0.7987923693982002
equation,-0.24166945301974585,0.6362023051904945
loyalty,-0.5755379439133304,0.7932855258090818
pillow,-1.2604087128652735,0.9625324615295753
Griffin,-1.2960343035819386,0.9667191384058039
Diesel,-0.48850570223007506,0.7596613673533474
Dylan,-0.8397415452807122,0.8829429562902165
intermediate,0.5166864055461806,0.23386076187729365
Slim,-0.8390332984230708,0.8851270458712517
arrow,-1.083968794101534,0.9383878051146033
agosorry,-0.9876727764822135,0.9206804679429489
coconut,-0.0055998552055572205,0.5028314251329556
Stress,-0.7912172439126287,0.8615545599826246
Chemistry,0.11416944206392886,0.43390299428573653
peers,-0.762009523825436,0.8598566844197819
demonstrates,-0.25513004737450634,0.639662052680775
amended,0.13835367149209302,0.4209425058631816
teenagers,0.5095016529357919,0.23431333130685528
anchor,-0.534822409566273,0.7752945245911838
san,-0.10803894844195673,0.5575836427387242
guessing,0.08638905839257481,0.45654110945238413
analog,-0.2113341456976649,0.616476700111094
substances,0.588828947902929,0.20150507102955484
256,-0.6244779731784351,0.8123379336670736
accessory,-0.21473971025219762,0.6217708972835599
uncle,0.2044089028776318,0.39142549137362037
Forms,0.24486506161755828,0.3644698864880057
directories,-0.04293711133155105,0.5269969439381291
bible,0.7179942358820607,0.15443885011263103
Goods,-0.1988732745271509,0.6066186888531981
doctrine,-0.13686409934460103,0.5741426569357486
Autumn,-1.1718789159543848,0.9508041787341731
Expo,-1.015437822044524,0.9264706298461679
Bennett,-0.06997095508415338,0.5394891274420942
violations,0.7449158128174778,0.15115597760162358
notified,0.3122666610822023,0.3367449937863276
Lifestyle,0.526264245568549,0.22968735071715918
Slow,-0.799991489656779,0.8702206572248603
Origin,0.33853225063891157,0.3203598669619935
pretend,-0.7195643531465298,0.842014710653251
mud,-0.5369447429236112,0.7764526520733752
Ships,-0.23183835973950587,0.6296502112310474
salmon,-0.3612701711643289,0.6955725321737871
Nigeria,0.059842860843399806,0.46789636307859805
thumbs,-0.481501698374706,0.7466038103586583
Sand,0.6011144233452829,0.20150869616228528
Ste,-0.09368834217709264,0.5527323568708705
sciences,0.9165990007451527,0.09849094265515579
characterized,0.4016535711235659,0.28936103077061126
masters,0.03256994639119437,0.4834642840207902
awkward,-0.9759102633471901,0.9161984888205446
Q.,0.4285133436134467,0.2700560320938993
yea,0.6917387285305263,0.15874226673783332
Apr.,-0.3812657212310949,0.7093526171369959
usa,0.6451517245867614,0.17842457438547743
Rochester,-1.1443554137339018,0.9469926830749442
Ages,-0.059030236680810325,0.5374377773275727
Fifth,0.941512567387602,0.09059236332095566
Cutting,-0.3183646812858246,0.6713081523270286
solving,0.96406668896914,0.08543704368524252
Few,0.30469116663705575,0.3357875757094234
Chance,-0.7324065743513359,0.8489509597559723
constitution,0.3991736866192843,0.2905598109142462
ankle,-0.2568588029303738,0.6403036358866977
Specifications,0.7994212730437071,0.12966102209284724
hobby,0.8592868398987854,0.11296828142945348
Haha,0.10669900629166168,0.4381844111426709
wishing,0.07038305402227599,0.4530966325676282
maximize,-1.208591818058831,0.955204954199575
structured,0.06255062102265654,0.47555810683841526
Rd.,-1.3461230481707238,0.9711786491320415
acknowledged,-0.06899669732319905,0.5398190981780486
Loved,-0.338779338248614,0.6848976702865417
Spy,-0.49197940204021806,0.7540665571181929
hes,-0.01617667285777675,0.5019970611928952
hairy,-1.2585920181472379,0.9617585989767075
rar,-0.6484007024230415,0.8197747930605055
chaos,-0.663753279960341,0.8268815607786679
yeast,0.4999380321955011,0.23756973195118958
overhead,0.3136938077379156,0.3252542438316859
Marriott,0.45025911074802255,0.2601191530252891
specializes,0.16868625689953828,0.407231971184957
surgeon,0.5361660210701125,0.22611947991925196
READ,0.1946168884095838,0.3913395744993595
healthier,0.7019195839911782,0.16320140492712742
Tiffany,-1.6627192813382576,0.9911376703005749
handsome,-0.02110506090267206,0.5124205265248974
Genuine,-0.44648282020494257,0.7393711790711799
prisoners,-0.44126228641397514,0.7279971808124619
wrist,-0.4829282739418705,0.7523889084042905
Pilot,-0.7007919916349006,0.8411576524825082
calcium,0.39000124162815675,0.28638778305746493
Kenny,-1.104677792809655,0.9379056549642756
utilities,-0.08142043191072955,0.542502541257434
cluster,-0.2925036379969041,0.6585854393384022
consequence,-0.3274722038610947,0.6751874098870085
Crisis,-0.4006498175424583,0.7004891009329819
monitors,0.3654437282678135,0.30287594366061865
zones,-0.30998042773568135,0.672800056427019
preliminary,0.9624425734094869,0.08245822635541233
²,0.27544075890518216,0.3458940334731895
MC,-0.3405274663119507,0.6807125506070643
Printable,0.6698048784649386,0.17137691412912148
villa,0.02541404392199582,0.4773188353810829
rider,0.037665092317333476,0.4791583227206443
explosion,0.16879805614968912,0.40531116638631604
radar,-0.45780269374508403,0.741150505783245
Pen,-0.7569396174890626,0.8599528792625003
Acer,0.15978225939136934,0.40745810309116526
Websites,0.006019059275940973,0.49868773159051527
Cam,-0.3010266674433597,0.6640114840999523
Province,0.36222238678777724,0.3041161221207678
affiliated,0.30851872586296863,0.3350159216048627
invisible,-1.2346554651876869,0.9588197138397351
supposedly,0.5577245724265305,0.2174548572474646
up-to-date,0.147010186142411,0.41262704108271464
Hebrew,1.0512183353008502,0.06827448150483872
Messenger,0.22256103160587226,0.3714066974875735
broader,0.21123850662080554,0.38519164637006487
proprietary,0.6688157830632168,0.17128506583123926
protects,-0.5759608522423086,0.7913769056243899
lesser,0.2515991551521688,0.36134059965461707
Affordable,0.7182322196923697,0.15688568017730753
christian,0.4636135025521938,0.25755263209625356
SB,-1.1076285452527868,0.9394600470026351
MT,-0.15830694605267734,0.589215088436593
probe,-0.167941208028774,0.5874769023822256
Cheers,0.17519122461378245,0.4035981233188102
Population,0.3502204068128139,0.3081098118849759
recreational,0.7453300466607725,0.14572603359033875
5.00,-0.027925030796761584,0.5121371894300089
anti,-1.0949152001346425,0.9407776047388454
believing,0.4454004478163451,0.26485009155913586
Calgary,0.5799660064971145,0.20571448573878448
Depression,-0.5084575551086964,0.7688146085940553
Initiative,0.5453708047717194,0.22322865712538442
ing,0.3629793238754908,0.29701060619698194
Derby,-0.8042432737185903,0.8722314947712622
Components,1.064581540089759,0.06697550593312518
Starter,0.003413016762914995,0.48972314169277265
permanently,-0.16965788187120243,0.5940786741930482
sliding,0.14606082881045876,0.4231167113286838
unfortunate,-0.5704791009719616,0.7890946830573009
snack,0.5910484296063954,0.20215642182350124
Ms,-0.6388619330099063,0.8174314629096808
Chad,0.25052865746250214,0.36272232468936383
Lindsay,0.580016452142128,0.20253369299067692
resorts,0.2308882906288825,0.3732825121767681
Sponsored,0.3570916416824548,0.3031116523978402
Megan,-0.18870949978977816,0.6047769359426043
hack,0.423559264654356,0.27344421544794795
deployment,-0.36622471056038636,0.6949760329927565
Fighting,0.44222494114814787,0.26184300741471556
Mama,-1.3139397394803989,0.9694873222570152
ipod,-1.0834345130497738,0.9373398301222571
jealous,-0.4972373286104912,0.7590316762255763
technically,0.8737836092082082,0.10686634479401302
1990s,0.7884950453141031,0.1329344994482562
Slide,-0.7304781820061752,0.8491991935988099
Liz,-0.6506012806827465,0.8201148655561704
crisp,0.05008437318524406,0.46411035390682664
definitions,0.42743074577889956,0.27091874640949565
Indoor,0.5858230554142967,0.2032744954913609
Halo,0.6568593245436037,0.17000607918533284
liable,-0.04587823779309594,0.5294642627329487
durability,-0.15270269833316538,0.5812894898306946
showers,0.18288791167655458,0.3953027617912107
Commonwealth,0.6285506674079027,0.18822612417105833
adapt,-1.204403288319815,0.9563065898270622
Plymouth,-1.0109103417502951,0.9225229342601915
fraction,0.18548327844141177,0.3942221415136782
consensus,-0.3207017188279402,0.6709010779647248
oriented,-0.2963769665632781,0.6643710281438793
Artwork,0.23196196459110038,0.3743171933204469
Richardson,-0.2805983908048484,0.6521195197045653
diff,-0.7314117475547249,0.8535445908126951
Gilbert,-1.1720969546789228,0.9496584431472521
forgive,-1.1261129268367005,0.9466483220037488
Symphony,-0.40384002231318467,0.7193237978093973
classification,0.25036329945068014,0.36230112926923774
stressed,-0.35555633054408864,0.689034283737227
freeze,-0.4688876184208048,0.7489896482818139
Jacksonville,0.8485686706505415,0.11687524573821895
relaxation,0.6472850217769677,0.1782716504850479
Ukraine,0.9704332317380926,0.08649862316318968
breeding,0.2068503592891648,0.3882368665052408
conflicts,0.5167470233586634,0.23339701352495834
Zoom,0.24140460614043407,0.3729702000943894
wax,-0.04169490284842525,0.5246873299884971
Sharp,-0.502360127808567,0.7586514726515846
myspace,0.7548892738981383,0.14392755580252825
adjustments,-0.11132365894126112,0.5603709181197221
activated,0.33471110802075554,0.31765953499331545
licensing,0.9108057327556504,0.10342432706379423
breakdown,-0.44942235349467397,0.744556086243083
Bulletin,0.6388833675256302,0.18038494448070697
construct,-0.8325716495232683,0.876977515425867
Coordinator,0.5137233400098261,0.234817231405553
ballot,-0.09241099559494287,0.5480712857016953
humble,-0.7102877852204158,0.8397885102596687
Visa,1.0354620648294388,0.07225447349353109
earliest,0.4529781327525252,0.2661465714412933
Reporting,0.33673840852703874,0.31443053798916043
whoever,1.231478487146249,0.03795910146266035
obesity,-0.2330389209633164,0.6310015693072323
Strip,-0.800933491177823,0.8712408047149061
1961,0.1261031719560186,0.4284624096457543
imported,0.7329734193900406,0.14515548360303798
Norfolk,0.611349229327176,0.19640183303592984
Mirrors,0.3984176669719149,0.28729160666248355
Leon,-0.4891754868909825,0.7509166623615293
Divine,-1.4216969523102567,0.9784730545103928
cartridge,0.38558596615697066,0.29274061785239236
mattress,0.2551331857559244,0.35865500319822974
sentences,0.35163763323439434,0.305478599654335
incentive,0.5638615882896549,0.21211384392833832
Pride,-1.0495202674121553,0.9282728636962102
mercy,-1.494287290348222,0.9826609712271488
discretion,-0.5970278308395554,0.8035810744895546
Watching,0.5133209860964413,0.23379076836616342
consistency,0.10849601963523797,0.43581082455978915
bargain,-0.602394768670895,0.805768787631753
Ellis,-0.29914345520032926,0.6664860034776067
Rural,0.19615294375878403,0.38951408196192394
10.00,-0.46188229110990764,0.7379736271668458
Vehicles,0.5959920384746106,0.201034147202928
Them,1.2895314132293485,0.0356221317483153
poet,0.4693197923303307,0.2546320276406965
Kitty,-0.6941591120711785,0.8381269230520163
grounded,-0.19331664333962964,0.606924693537084
Attorneys,-0.220356982696165,0.6252627901452394
retailer,0.9093901350639649,0.10014622968435505
Swift,-0.21521102702150766,0.6201751306927727
intensive,0.038313761725506754,0.48481076453907734
Function,-0.6215036737930819,0.810246804357222
Jackie,-0.42974802079143626,0.730474020604221
230,-0.03267177020914433,0.5256111771941827
Regardless,0.06509000818385231,0.4604595976985425
HIGH,-0.1713738239849636,0.5910014480068722
Beginning,-0.07548116198587351,0.5444709154702637
varies,0.5582616261868193,0.2100964819168044
n.,0.22574924629125065,0.37484893839688316
Rail,0.5788337752170085,0.20693369579010779
3:00,-0.017470468936746628,0.5140360956471247
scholars,0.3804050103275562,0.2988905173558455
225,0.039643694002718104,0.48513133944801723
Eight,0.11743382576259599,0.43663699541088075
enjoyment,0.15471276836365488,0.41262604907943723
locals,0.41207351182911534,0.2804556902535258
playoff,0.06778409920688874,0.4722374610541311
Reagan,0.7799997771574255,0.134289627187138
Pastor,-0.4123174976834353,0.7155888867403837
Fields,-0.23428666157981934,0.6342858064432569
nutrients,0.4376974794422596,0.2611889251505687
Plain,-0.32701970066251,0.6765111856547085
surroundings,-0.001846227423895682,0.5040157591111833
Modified,0.4396838463281065,0.2751956754772892
Dana,0.8820473377479022,0.10896514002147584
disappear,-1.040542428081094,0.9268861912007378
Portrait,-1.085249356911774,0.936725135340905
dynamics,0.4472472040590242,0.2596475737115874
